Student_ID,Skill_Name,Skill_Score,Assessment_Score,Course_Completion_Percentage,Learning_Hours,Assignment_Completion_Rate,Login_Frequency,Skill_Category,Proficiency_Level
S047,Power BI,50,49,74,124,51,21,Visualization,Intermediate
S048,Algorithms,56,46,87,37,61,8,Programming,Intermediate
S048,Python,90,76,78,145,97,2,Programming,Advanced
S048,Data Structures,44,63,51,54,93,11,Programming,Beginner
S048,Git,61,84,87,143,50,3,Tools,Intermediate
S048,Excel,56,98,68,171,94,10,Visualization,Intermediate
S048,Data Analysis,46,58,80,135,57,15,Analytics,Beginner
S048,SQL,66,85,77,11,50,24,Database,Intermediate
S048,Linux,99,81,80,111,55,26,Tools,Advanced
S048,Java,69,69,54,58,52,28,Programming,Intermediate
S048,Machine Learning,88,75,78,151,96,5,AI,Advanced
S049,Computer Vision,70,100,63,38,52,24,AI,Intermediate
S049,Cloud Computing,47,56,84,71,57,11,Cloud,Beginner
S049,Power BI,87,100,95,188,82,29,Visualization,Advanced
S049,Statistics,68,46,55,66,78,7,Analytics,Intermediate
S049,Data Structures,64,78,65,98,71,27,Programming,Intermediate
S049,NLP,91,88,92,197,62,11,AI,Advanced
S049,Web Development,61,61,73,55,58,27,Development,Intermediate
S049,Cyber Security,97,79,84,100,95,5,Security,Advanced
S049,Excel,90,40,67,96,67,1,Visualization,Advanced
S049,C++,82,71,64,103,76,9,Programming,Advanced
S050,Statistics,56,74,92,172,93,14,Analytics,Intermediate
S050,Cloud Computing,65,57,51,121,80,13,Cloud,Intermediate
S050,Web Development,81,58,77,160,95,10,Development,Advanced
S050,Data Analysis,87,80,71,99,89,24,Analytics,Advanced
S050,Python,70,61,56,41,76,9,Programming,Intermediate
S050,Excel,44,48,92,130,51,29,Visualization,Beginner
S050,C++,79,67,50,121,82,3,Programming,Advanced
S050,Cyber Security,43,99,70,56,51,14,Security,Beginner
S050,Algorithms,86,51,72,104,84,11,Programming,Advanced
S050,Machine Learning,40,76,61,126,78,9,AI,Beginner
S051,Machine Learning,93,70,72,162,73,27,AI,Advanced
S051,Data Structures,56,56,76,139,72,10,Programming,Intermediate
S051,SQL,73,80,91,35,60,20,Database,Intermediate
S051,Tableau,80,90,91,79,77,16,Visualization,Advanced
S051,Java,41,91,56,149,64,29,Programming,Beginner
S051,Deep Learning,40,69,87,19,51,26,AI,Beginner
S051,Excel,95,54,73,55,85,3,Visualization,Advanced
S051,Cloud Computing,85,56,54,23,74,28,Cloud,Advanced
S051,Python,42,67,60,75,80,3,Programming,Beginner
S051,Web Development,74,69,82,37,68,3,Development,Intermediate
S052,Web Development,54,91,74,78,56,26,Development,Intermediate
S052,Computer Vision,43,77,79,70,75,26,AI,Beginner
S052,Cyber Security,76,74,54,156,91,12,Security,Advanced
S052,Deep Learning,49,44,99,23,56,30,AI,Beginner
S052,Statistics,47,64,55,155,61,14,Analytics,Beginner
S052,Python,76,72,62,14,61,16,Programming,Advanced
S052,C++,88,61,51,58,57,6,Programming,Advanced
S052,Linux,94,79,67,14,93,5,Tools,Advanced
S052,Java,55,70,81,111,97,30,Programming,Intermediate
S052,Git,59,60,84,183,79,13,Tools,Intermediate
S053,Cloud Computing,91,92,58,92,62,24,Cloud,Advanced
S053,Computer Vision,47,98,75,29,70,15,AI,Beginner
S053,Statistics,45,86,59,131,81,21,Analytics,Beginner
S053,Cyber Security,55,84,59,108,65,9,Security,Intermediate
S053,Tableau,61,98,83,42,98,30,Visualization,Intermediate
S053,Java,46,82,72,176,66,27,Programming,Beginner
S053,Excel,91,95,95,159,58,29,Visualization,Advanced
S053,Data Structures,61,66,65,193,84,16,Programming,Intermediate
S053,Linux,57,55,76,43,55,23,Tools,Intermediate
S053,Python,72,95,86,105,79,14,Programming,Intermediate
S054,Algorithms,42,59,61,41,71,17,Programming,Beginner
S054,Data Structures,76,70,60,99,91,14,Programming,Advanced
S054,Excel,62,57,85,144,79,5,Visualization,Intermediate
S054,Computer Vision,94,74,72,175,74,12,AI,Advanced
S054,Linux,74,77,85,149,62,30,Tools,Intermediate
S054,Data Analysis,74,84,77,121,76,10,Analytics,Intermediate
S054,Python,76,78,92,27,94,25,Programming,Advanced
S054,Git,54,74,85,61,68,27,Tools,Intermediate
S054,C++,48,91,59,179,79,8,Programming,Beginner
S054,SQL,65,69,58,124,98,21,Database,Intermediate
S055,Deep Learning,64,77,94,128,94,22,AI,Intermediate
S055,NLP,92,98,61,165,59,23,AI,Advanced
S055,Web Development,68,96,70,90,52,12,Development,Intermediate
S055,C++,46,99,98,27,91,17,Programming,Beginner
S055,Computer Vision,71,40,73,87,66,12,AI,Intermediate
S055,Data Analysis,70,91,78,30,69,14,Analytics,Intermediate
S055,Statistics,47,99,51,70,73,29,Analytics,Beginner
S055,Linux,65,44,57,161,62,6,Tools,Intermediate
S055,Power BI,96,86,73,88,77,26,Visualization,Advanced
S055,Data Structures,75,41,90,60,56,13,Programming,Advanced
S056,Cyber Security,46,53,71,69,66,18,Security,Beginner
S056,Algorithms,76,70,82,112,68,12,Programming,Advanced
S056,Statistics,58,58,59,14,76,28,Analytics,Intermediate
S056,Java,91,46,82,26,63,10,Programming,Advanced
S056,Excel,64,67,87,115,73,2,Visualization,Intermediate
S056,Data Structures,90,77,75,96,60,23,Programming,Advanced
S056,C++,55,67,61,68,70,1,Programming,Intermediate
S056,Machine Learning,82,59,81,132,56,3,AI,Advanced
S056,SQL,94,67,61,55,64,25,Database,Advanced
S056,Power BI,84,86,92,150,80,10,Visualization,Advanced
S057,Java,78,85,63,16,84,19,Programming,Advanced
S057,Web Development,76,64,87,71,99,25,Development,Advanced
S057,Cloud Computing,53,44,99,131,97,27,Cloud,Intermediate
S057,Algorithms,93,70,92,175,91,14,Programming,Advanced
S057,C++,89,55,67,120,54,14,Programming,Advanced
S057,Excel,59,82,61,92,100,12,Visualization,Intermediate
S057,Python,89,93,66,17,75,22,Programming,Advanced
S057,Linux,43,88,55,34,58,1,Tools,Beginner
S057,NLP,45,68,83,188,81,24,AI,Beginner
S057,Tableau,67,95,76,10,55,22,Visualization,Intermediate
S058,Statistics,55,54,63,160,55,7,Analytics,Intermediate
S058,Git,65,47,59,62,79,18,Tools,Intermediate
S058,NLP,42,78,92,113,75,21,AI,Beginner
S058,Linux,96,99,55,97,61,28,Tools,Advanced
S058,Cyber Security,58,95,51,62,92,20,Security,Intermediate
S058,Algorithms,77,67,72,125,52,28,Programming,Advanced
S058,Power BI,43,83,56,159,99,22,Visualization,Beginner
S058,Tableau,86,76,83,60,99,29,Visualization,Advanced
S058,Data Analysis,81,96,63,93,68,1,Analytics,Advanced
S058,Deep Learning,66,58,78,119,73,24,AI,Intermediate
S059,Statistics,73,56,58,101,58,15,Analytics,Intermediate
S059,SQL,55,57,81,11,97,18,Database,Intermediate
S059,Cyber Security,94,45,92,154,83,2,Security,Advanced
S059,Web Development,42,57,76,196,86,11,Development,Beginner
S059,C++,57,87,78,109,50,30,Programming,Intermediate
S059,NLP,56,40,60,143,85,7,AI,Intermediate
S059,Excel,75,56,68,164,70,19,Visualization,Advanced
S059,Java,49,98,75,123,50,1,Programming,Beginner
S059,Algorithms,44,98,54,34,76,9,Programming,Beginner
S059,Python,51,42,55,194,80,17,Programming,Intermediate
S060,Algorithms,58,78,93,34,60,1,Programming,Intermediate
S060,Cyber Security,56,62,79,73,90,25,Security,Intermediate
S060,Deep Learning,78,45,61,108,75,18,AI,Advanced
S060,Java,96,80,83,91,66,11,Programming,Advanced
S060,Data Analysis,46,49,76,70,78,2,Analytics,Beginner
S060,SQL,51,64,73,156,75,25,Database,Intermediate
S060,Python,99,72,91,158,67,19,Programming,Advanced
S060,Git,47,84,94,56,88,14,Tools,Beginner
S060,Computer Vision,65,81,86,75,90,30,AI,Intermediate
S060,Machine Learning,59,77,50,57,68,23,AI,Intermediate
S061,Java,78,79,51,137,88,29,Programming,Advanced
S061,NLP,58,49,68,61,70,5,AI,Intermediate
S061,Git,62,80,84,35,86,10,Tools,Intermediate
S061,Machine Learning,51,85,98,196,75,22,AI,Intermediate
S061,Data Structures,94,64,62,70,50,4,Programming,Advanced
S061,Data Analysis,44,50,97,27,82,26,Analytics,Beginner
S061,Tableau,70,69,97,132,84,12,Visualization,Intermediate
S061,Linux,58,94,61,131,71,27,Tools,Intermediate
S061,Algorithms,60,85,70,196,82,22,Programming,Intermediate
S061,Cyber Security,86,90,52,126,68,19,Security,Advanced
S062,SQL,52,50,73,115,95,27,Database,Intermediate
S062,Statistics,75,71,76,159,90,15,Analytics,Advanced
S062,Cloud Computing,62,100,80,23,75,30,Cloud,Intermediate
S062,Tableau,60,51,51,15,93,23,Visualization,Intermediate
S062,Web Development,70,90,67,18,100,30,Development,Intermediate
S062,Computer Vision,56,51,99,79,93,29,AI,Intermediate
S062,Linux,92,57,81,63,90,23,Tools,Advanced
S062,Cyber Security,79,40,68,54,89,9,Security,Advanced
S062,Data Analysis,79,55,84,73,78,9,Analytics,Advanced
S062,Algorithms,88,71,61,141,82,25,Programming,Advanced
S063,Python,95,58,93,64,69,11,Programming,Advanced
S063,Data Structures,84,71,98,119,58,24,Programming,Advanced
S063,Computer Vision,80,73,50,41,67,1,AI,Advanced
S063,Tableau,85,62,60,40,69,30,Visualization,Advanced
S063,Cyber Security,62,53,54,82,98,28,Security,Intermediate
S063,Cloud Computing,72,86,76,38,89,25,Cloud,Intermediate
S063,NLP,89,86,85,180,98,26,AI,Advanced
S063,Linux,84,77,85,55,69,12,Tools,Advanced
S063,Deep Learning,94,46,89,10,94,10,AI,Advanced
S063,Web Development,93,69,93,94,57,15,Development,Advanced
S064,Data Structures,65,68,63,31,92,15,Programming,Intermediate
S064,Java,61,67,78,109,66,24,Programming,Intermediate
S064,Linux,93,57,66,94,60,30,Tools,Advanced
S064,Deep Learning,56,82,100,166,59,12,AI,Intermediate
S064,Python,69,50,72,59,63,2,Programming,Intermediate
S064,Machine Learning,80,67,75,97,81,15,AI,Advanced
S064,Cyber Security,43,69,54,50,63,14,Security,Beginner
S064,Algorithms,78,64,82,119,51,23,Programming,Advanced
S064,Git,40,72,71,187,51,15,Tools,Beginner
S064,Data Analysis,49,63,97,82,70,11,Analytics,Beginner
S065,NLP,57,98,67,160,52,8,AI,Intermediate
S065,Algorithms,83,82,72,13,95,10,Programming,Advanced
S065,Data Structures,40,86,91,197,79,29,Programming,Beginner
S065,Power BI,64,86,88,164,66,18,Visualization,Intermediate
S065,Git,57,78,51,126,73,21,Tools,Intermediate
S065,Machine Learning,97,41,54,144,97,17,AI,Advanced
S065,Linux,45,42,91,68,64,13,Tools,Beginner
S065,C++,77,65,74,142,65,21,Programming,Advanced
S065,Java,46,92,80,142,99,23,Programming,Beginner
S065,Deep Learning,48,95,74,147,54,23,AI,Beginner
S066,Machine Learning,69,70,74,43,79,14,AI,Intermediate
S066,Linux,42,92,100,46,88,5,Tools,Beginner
S066,Power BI,92,100,60,182,84,1,Visualization,Advanced
S066,Tableau,53,49,80,11,91,30,Visualization,Intermediate
S066,Cyber Security,60,68,66,31,56,18,Security,Intermediate
S066,Cloud Computing,54,51,76,58,90,17,Cloud,Intermediate
S066,Git,77,79,89,39,70,10,Tools,Advanced
S066,NLP,87,93,79,35,74,6,AI,Advanced
S066,Python,47,97,85,49,70,6,Programming,Beginner
S066,SQL,78,94,97,130,91,13,Database,Advanced
S067,Python,59,47,93,64,73,12,Programming,Intermediate
S067,Algorithms,56,73,89,137,92,22,Programming,Intermediate
S067,Statistics,57,70,86,133,55,22,Analytics,Intermediate
S067,Cloud Computing,95,53,70,110,78,26,Cloud,Advanced
S067,Excel,85,98,67,75,63,14,Visualization,Advanced
S067,Deep Learning,60,72,86,155,82,18,AI,Intermediate
S067,Tableau,57,54,84,23,57,20,Visualization,Intermediate
S067,NLP,65,83,75,92,57,23,AI,Intermediate
S067,C++,85,42,96,105,88,21,Programming,Advanced
S067,Git,71,82,87,196,66,14,Tools,Intermediate
S068,Deep Learning,83,93,84,163,86,2,AI,Advanced
S068,Computer Vision,83,87,59,124,96,20,AI,Advanced
S068,Cloud Computing,43,58,78,147,61,13,Cloud,Beginner
S068,Java,70,48,100,131,78,23,Programming,Intermediate
S068,Data Structures,56,54,73,39,61,18,Programming,Intermediate
S068,Git,78,57,76,42,97,14,Tools,Advanced
S068,Power BI,53,86,72,22,68,3,Visualization,Intermediate
S068,Cyber Security,48,79,75,149,73,27,Security,Beginner
S068,NLP,64,46,54,133,62,27,AI,Intermediate
S068,Tableau,60,87,65,174,97,6,Visualization,Intermediate
S069,Statistics,45,91,99,49,67,23,Analytics,Beginner
S069,Excel,60,55,97,18,84,9,Visualization,Intermediate
S069,Power BI,71,69,57,118,88,17,Visualization,Intermediate
S069,Computer Vision,57,75,81,59,62,24,AI,Intermediate
S069,Cloud Computing,44,40,75,99,86,4,Cloud,Beginner
S069,SQL,60,43,70,104,54,14,Database,Intermediate
S069,Cyber Security,47,48,79,35,95,1,Security,Beginner
S069,NLP,80,94,80,151,51,1,AI,Advanced
S069,Python,52,58,53,61,78,6,Programming,Intermediate
S069,Git,54,73,81,110,87,30,Tools,Intermediate
S070,Linux,90,79,73,21,55,10,Tools,Advanced
S070,Data Analysis,60,41,51,192,62,4,Analytics,Intermediate
S070,SQL,90,45,86,78,58,5,Database,Advanced
S070,Java,97,77,50,123,69,14,Programming,Advanced
S070,Web Development,81,61,54,164,51,5,Development,Advanced
S070,NLP,75,45,76,57,60,3,AI,Advanced
S070,Cloud Computing,73,61,100,37,58,2,Cloud,Intermediate
S070,Deep Learning,68,58,69,141,77,20,AI,Intermediate
S070,Algorithms,47,82,92,87,76,6,Programming,Beginner
S070,Python,46,40,76,190,59,30,Programming,Beginner
S071,Data Analysis,98,50,55,192,52,9,Analytics,Advanced
S071,Machine Learning,89,41,89,139,63,24,AI,Advanced
S071,Statistics,51,86,70,145,60,4,Analytics,Intermediate
S071,Cloud Computing,50,56,62,29,66,5,Cloud,Intermediate
S071,Computer Vision,94,97,67,58,77,11,AI,Advanced
S071,Java,77,49,62,88,50,5,Programming,Advanced
S071,C++,53,40,50,147,100,29,Programming,Intermediate
S071,Data Structures,52,90,85,100,62,22,Programming,Intermediate
S071,Algorithms,65,82,63,99,90,28,Programming,Intermediate
S071,Tableau,98,43,62,147,55,5,Visualization,Advanced
S072,Algorithms,54,92,72,140,66,2,Programming,Intermediate
S072,Tableau,83,90,79,139,57,17,Visualization,Advanced
S072,Git,54,56,80,55,93,19,Tools,Intermediate
S072,NLP,68,66,53,173,67,19,AI,Intermediate
S072,Machine Learning,48,100,82,101,59,20,AI,Beginner
S072,C++,77,74,98,87,64,9,Programming,Advanced
S072,Data Structures,79,80,61,15,100,11,Programming,Advanced
S072,Data Analysis,49,81,90,154,52,6,Analytics,Beginner
S072,Deep Learning,56,100,98,178,99,11,AI,Intermediate
S072,Power BI,78,66,91,189,79,3,Visualization,Advanced
S073,Git,44,96,87,102,85,20,Tools,Beginner
S073,Cyber Security,48,96,85,76,68,25,Security,Beginner
S073,Cloud Computing,54,44,50,11,96,15,Cloud,Intermediate
S073,Tableau,52,78,76,146,79,30,Visualization,Intermediate
S073,SQL,74,82,50,163,97,19,Database,Intermediate
S073,Java,46,62,80,173,59,1,Programming,Beginner
S073,Machine Learning,67,56,90,78,79,18,AI,Intermediate
S073,Deep Learning,58,95,94,133,99,30,AI,Intermediate
S073,Power BI,54,66,59,179,61,8,Visualization,Intermediate
S073,Excel,66,84,98,149,55,16,Visualization,Intermediate
S074,SQL,88,66,80,81,63,17,Database,Advanced
S074,Cyber Security,61,62,97,45,96,28,Security,Intermediate
S074,Linux,63,56,87,85,74,29,Tools,Intermediate
S074,Python,73,68,67,165,89,5,Programming,Intermediate
S074,Data Analysis,46,96,53,111,66,10,Analytics,Beginner
S074,Algorithms,84,67,96,138,62,10,Programming,Advanced
S074,Git,65,94,64,155,58,9,Tools,Intermediate
S074,Deep Learning,68,87,67,14,68,23,AI,Intermediate
S074,Power BI,86,97,68,132,84,13,Visualization,Advanced
S074,C++,46,95,65,11,90,7,Programming,Beginner
S075,Computer Vision,95,86,87,42,75,29,AI,Advanced
S075,Linux,49,60,90,62,55,10,Tools,Beginner
S075,Deep Learning,40,47,86,108,65,24,AI,Beginner
S075,Power BI,60,86,70,85,53,29,Visualization,Intermediate
S075,C++,47,64,71,161,59,26,Programming,Beginner
S075,Excel,86,82,86,161,70,20,Visualization,Advanced
S075,Java,70,63,50,150,58,18,Programming,Intermediate
S075,Algorithms,83,53,59,126,50,16,Programming,Advanced
S075,Python,95,73,84,146,100,9,Programming,Advanced
S075,Machine Learning,41,89,88,61,72,24,AI,Beginner
S076,Data Analysis,56,87,74,124,52,15,Analytics,Intermediate
S076,C++,57,45,78,45,99,30,Programming,Intermediate
S076,Excel,55,94,73,42,65,13,Visualization,Intermediate
S076,Web Development,56,93,99,173,52,14,Development,Intermediate
S076,Power BI,75,65,59,162,55,5,Visualization,Advanced
S076,Statistics,66,99,87,112,88,17,Analytics,Intermediate
S076,Git,82,95,73,72,62,22,Tools,Advanced
S076,Python,92,50,71,191,58,12,Programming,Advanced
S076,Tableau,61,84,76,199,88,14,Visualization,Intermediate
S076,Cyber Security,49,75,56,196,100,30,Security,Beginner
S077,Cloud Computing,91,61,66,74,67,6,Cloud,Advanced
S077,Data Structures,40,99,81,175,85,24,Programming,Beginner
S077,Python,68,95,67,97,72,30,Programming,Intermediate
S077,Cyber Security,93,60,69,173,83,5,Security,Advanced
S077,Deep Learning,89,89,90,169,72,19,AI,Advanced
S077,Data Analysis,63,65,92,85,50,28,Analytics,Intermediate
S077,Excel,65,62,63,35,79,10,Visualization,Intermediate
S077,NLP,78,72,59,132,95,13,AI,Advanced
S077,Computer Vision,97,55,93,178,87,29,AI,Advanced
S077,Web Development,44,83,68,99,83,25,Development,Beginner
S078,Algorithms,66,83,76,151,92,10,Programming,Intermediate
S078,Tableau,71,96,71,193,89,22,Visualization,Intermediate
S078,Statistics,50,78,75,198,97,7,Analytics,Intermediate
S078,Cloud Computing,79,99,67,133,55,7,Cloud,Advanced
S078,SQL,62,99,73,156,94,10,Database,Intermediate
S078,Data Analysis,78,41,59,13,74,3,Analytics,Advanced
S078,Power BI,79,99,62,50,94,30,Visualization,Advanced
S078,Cyber Security,81,41,79,117,63,7,Security,Advanced
S078,Machine Learning,79,67,75,21,84,28,AI,Advanced
S078,Linux,80,91,89,191,93,30,Tools,Advanced
S079,Data Structures,65,44,54,137,54,7,Programming,Intermediate
S079,Tableau,45,64,67,19,68,2,Visualization,Beginner
S079,Statistics,48,96,88,72,100,14,Analytics,Beginner
S079,Cyber Security,90,54,88,189,88,5,Security,Advanced
S079,C++,73,53,98,154,63,30,Programming,Intermediate
S079,Cloud Computing,76,90,66,196,55,10,Cloud,Advanced
S079,NLP,94,59,85,99,63,8,AI,Advanced
S079,Excel,51,54,73,124,88,20,Visualization,Intermediate
S079,Java,67,95,88,175,92,29,Programming,Intermediate
S079,Python,87,51,53,200,80,7,Programming,Advanced
S080,Algorithms,75,99,51,161,92,11,Programming,Advanced
S080,Java,53,46,83,73,55,27,Programming,Intermediate
S080,Cloud Computing,71,79,76,128,53,27,Cloud,Intermediate
S080,Tableau,92,93,98,104,88,13,Visualization,Advanced
S080,Power BI,78,84,73,105,80,22,Visualization,Advanced
S080,Linux,77,70,76,32,86,17,Tools,Advanced
S080,Machine Learning,44,91,98,58,63,18,AI,Beginner
S080,Excel,54,91,99,63,52,26,Visualization,Intermediate
S080,C++,83,73,100,113,78,27,Programming,Advanced
S080,NLP,77,46,86,30,56,24,AI,Advanced
S081,Power BI,80,48,76,27,85,16,Visualization,Advanced
S081,C++,82,100,71,17,82,15,Programming,Advanced
S081,Computer Vision,98,76,59,189,97,9,AI,Advanced
S081,NLP,61,45,50,106,63,29,AI,Intermediate
S081,Cloud Computing,67,53,74,117,76,17,Cloud,Intermediate
S081,Statistics,67,88,71,34,89,15,Analytics,Intermediate
S081,Machine Learning,53,65,66,76,61,20,AI,Intermediate
S081,Algorithms,50,85,67,29,81,11,Programming,Intermediate
S081,Deep Learning,82,57,60,49,66,7,AI,Advanced
S081,Java,71,92,96,81,72,2,Programming,Intermediate
S082,Tableau,85,68,94,131,91,25,Visualization,Advanced
S082,NLP,87,70,73,116,69,11,AI,Advanced
S082,Machine Learning,84,100,61,109,59,8,AI,Advanced
S082,Statistics,87,84,94,53,86,11,Analytics,Advanced
S082,Cyber Security,46,64,84,36,95,3,Security,Beginner
S082,Excel,71,82,63,171,95,23,Visualization,Intermediate
S082,Java,91,43,98,152,86,26,Programming,Advanced
S082,C++,64,53,84,37,67,7,Programming,Intermediate
S082,SQL,59,57,86,117,76,17,Database,Intermediate
S082,Cloud Computing,97,74,52,184,80,2,Cloud,Advanced
S083,Machine Learning,97,46,50,135,63,25,AI,Advanced
S083,Computer Vision,61,75,77,169,84,25,AI,Intermediate
S083,Java,80,82,53,162,63,2,Programming,Advanced
S083,SQL,62,87,62,116,68,22,Database,Intermediate
S083,Algorithms,87,70,68,172,95,16,Programming,Advanced
S083,Cyber Security,63,82,73,186,94,2,Security,Intermediate
S083,Git,78,61,84,50,77,4,Tools,Advanced
S083,Deep Learning,99,68,58,98,69,11,AI,Advanced
S083,Power BI,80,68,73,96,99,2,Visualization,Advanced
S083,Excel,46,97,84,135,88,8,Visualization,Beginner
S084,Git,73,56,80,69,56,5,Tools,Intermediate
S084,Python,93,40,77,146,94,11,Programming,Advanced
S084,Power BI,60,90,60,64,90,21,Visualization,Intermediate
S084,Cyber Security,61,51,66,128,54,14,Security,Intermediate
S084,Data Structures,60,61,57,50,56,18,Programming,Intermediate
S084,C++,57,89,88,39,90,5,Programming,Intermediate
S084,SQL,72,97,89,198,77,21,Database,Intermediate
S084,Deep Learning,71,55,65,45,87,24,AI,Intermediate
S084,Web Development,78,41,97,171,50,20,Development,Advanced
S084,Data Analysis,83,77,56,140,69,11,Analytics,Advanced
S085,Tableau,50,42,100,33,54,4,Visualization,Intermediate
S085,Cyber Security,45,66,97,71,94,3,Security,Beginner
S085,Computer Vision,44,78,91,170,85,26,AI,Beginner
S085,Machine Learning,87,66,70,94,69,5,AI,Advanced
S085,Data Analysis,67,85,84,147,72,26,Analytics,Intermediate
S085,C++,42,47,66,91,84,9,Programming,Beginner
S085,Web Development,62,45,62,67,63,4,Development,Intermediate
S085,Git,42,98,64,122,55,26,Tools,Beginner
S085,Deep Learning,67,63,54,148,73,27,AI,Intermediate
S085,NLP,46,56,71,131,59,27,AI,Beginner
S086,Data Structures,50,94,77,185,65,18,Programming,Intermediate
S086,Git,85,51,81,76,70,21,Tools,Advanced
S086,Python,93,76,66,125,93,9,Programming,Advanced
S086,Linux,69,46,82,83,72,2,Tools,Intermediate
S086,Data Analysis,81,53,86,87,73,5,Analytics,Advanced
S086,Statistics,95,40,52,16,89,22,Analytics,Advanced
S086,Computer Vision,82,100,97,152,50,14,AI,Advanced
S086,Cloud Computing,76,68,73,98,78,19,Cloud,Advanced
S086,Deep Learning,51,44,54,120,62,11,AI,Intermediate
S086,C++,46,70,78,23,69,1,Programming,Beginner
S087,Computer Vision,68,99,99,171,91,21,AI,Intermediate
S087,Machine Learning,48,48,84,159,56,16,AI,Beginner
S087,Algorithms,71,71,73,13,78,21,Programming,Intermediate
S087,Linux,57,52,86,142,52,25,Tools,Intermediate
S087,Data Structures,71,44,54,178,75,23,Programming,Intermediate
S087,Git,52,61,54,87,94,20,Tools,Intermediate
S087,Tableau,65,81,76,126,81,2,Visualization,Intermediate
S087,Python,50,80,58,13,98,4,Programming,Intermediate
S087,C++,61,81,76,50,63,3,Programming,Intermediate
S087,Web Development,72,41,83,147,54,15,Development,Intermediate
S088,Excel,45,66,100,22,95,9,Visualization,Beginner
S088,Cloud Computing,74,66,70,160,93,26,Cloud,Intermediate
S088,SQL,76,96,82,35,95,5,Database,Advanced
S088,NLP,67,67,88,146,76,24,AI,Intermediate
S088,Power BI,61,92,71,143,94,20,Visualization,Intermediate
S088,Python,58,85,77,128,91,19,Programming,Intermediate
S088,Deep Learning,78,70,83,165,95,12,AI,Advanced
S088,Java,94,99,89,197,99,30,Programming,Advanced
S088,Machine Learning,79,92,63,47,92,28,AI,Advanced
S088,Statistics,52,55,59,31,74,12,Analytics,Intermediate
S089,Algorithms,58,94,82,87,98,5,Programming,Intermediate
S089,Excel,54,61,57,74,94,11,Visualization,Intermediate
S089,SQL,77,40,89,89,100,26,Database,Advanced
S089,Computer Vision,73,46,84,86,57,21,AI,Intermediate
S089,Power BI,70,56,65,83,100,11,Visualization,Intermediate
S089,Statistics,55,71,90,63,55,7,Analytics,Intermediate
S089,Tableau,90,78,71,175,92,22,Visualization,Advanced
S089,Data Analysis,42,75,70,116,87,22,Analytics,Beginner
S089,C++,86,64,98,150,75,21,Programming,Advanced
S089,Python,93,55,85,114,76,12,Programming,Advanced
S090,Git,44,91,78,194,86,22,Tools,Beginner
S090,Web Development,78,58,81,156,90,22,Development,Advanced
S090,Algorithms,45,43,89,107,51,17,Programming,Beginner
S090,NLP,54,86,81,67,67,19,AI,Intermediate
S090,Statistics,96,78,90,149,50,30,Analytics,Advanced
S090,Data Analysis,92,52,84,46,67,9,Analytics,Advanced
S090,Machine Learning,52,98,98,184,61,21,AI,Intermediate
S090,Cyber Security,62,45,55,99,99,25,Security,Intermediate
S090,Data Structures,83,54,73,176,74,19,Programming,Advanced
S090,Deep Learning,64,64,56,20,85,3,AI,Intermediate
S091,SQL,53,82,88,125,78,5,Database,Intermediate
S091,Algorithms,60,88,77,120,81,1,Programming,Intermediate
S091,Tableau,96,90,100,85,70,30,Visualization,Advanced
S091,Python,79,61,81,183,56,15,Programming,Advanced
S091,Linux,80,54,75,169,98,15,Tools,Advanced
S091,Computer Vision,53,100,89,190,50,1,AI,Intermediate
S091,Cyber Security,85,57,83,63,73,28,Security,Advanced
S091,Cloud Computing,43,95,52,46,68,13,Cloud,Beginner
S091,Java,90,52,78,173,53,23,Programming,Advanced
S091,Machine Learning,59,97,92,162,84,21,AI,Intermediate
S092,C++,42,88,59,76,95,28,Programming,Beginner
S092,NLP,69,59,95,42,80,26,AI,Intermediate
S092,Computer Vision,44,88,60,108,51,19,AI,Beginner
S092,Linux,49,41,61,63,56,9,Tools,Beginner
S092,Data Analysis,80,56,55,126,87,15,Analytics,Advanced
S092,Deep Learning,44,52,73,65,79,15,AI,Beginner
S092,Web Development,55,62,57,61,55,27,Development,Intermediate
S092,Java,95,55,74,89,99,8,Programming,Advanced
S092,Algorithms,41,86,58,141,100,5,Programming,Beginner
S092,Excel,45,86,60,127,62,29,Visualization,Beginner
S093,Deep Learning,51,86,59,98,53,6,AI,Intermediate
S093,C++,81,54,52,125,84,12,Programming,Advanced
S093,Excel,83,87,51,61,66,19,Visualization,Advanced
S093,Linux,40,49,92,138,75,5,Tools,Beginner
S093,Machine Learning,76,79,69,47,83,7,AI,Advanced
S093,Python,56,75,92,102,77,18,Programming,Intermediate
S093,Cloud Computing,96,71,55,181,70,29,Cloud,Advanced
S093,Web Development,96,98,58,180,57,8,Development,Advanced
S093,NLP,81,74,96,85,81,14,AI,Advanced
S093,Tableau,63,44,100,121,100,24,Visualization,Intermediate
S094,Statistics,48,75,71,150,82,6,Analytics,Beginner
S094,Deep Learning,54,94,86,73,92,23,AI,Intermediate
S094,Linux,68,49,88,10,100,12,Tools,Intermediate
S094,Data Structures,43,92,67,51,50,29,Programming,Beginner
S094,C++,63,98,82,182,50,1,Programming,Intermediate
S094,Java,57,62,53,80,69,28,Programming,Intermediate
S094,SQL,83,90,80,162,88,6,Database,Advanced
S094,Computer Vision,40,73,72,37,68,13,AI,Beginner
S094,Cloud Computing,58,50,72,42,80,6,Cloud,Intermediate
S094,Data Analysis,44,66,62,83,77,5,Analytics,Beginner
